,precision,recall,f1-score,support
1,0.9938650306748467,0.9938650306748467,0.9938650306748467,163.0
2,0.9876543209876543,0.9937888198757764,0.9907120743034056,161.0
3,0.9695121951219512,1.0,0.9845201238390093,159.0
4,1.0,0.9751552795031055,0.9874213836477987,161.0
5,1.0,0.9875776397515528,0.99375,161.0
accuracy,0.9900621118012423,0.9900621118012423,0.9900621118012423,0.9900621118012423
macro avg,0.9902063093568904,0.9900773539610563,0.990053722493012,805.0
weighted avg,0.9902668132961523,0.9900621118012423,0.9900769396528526,805.0
